SalaryUSD	Country	PrimaryDatabase	YearsWithThisDatabase	OtherDatabases	JobTitle	YearsWithThisTypeOfJob	Education	HoursWorkedPerWeek
99000	United States	Microsoft SQL Server	5	Microsoft Access	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	1	Bachelors (4 years)	40
50000	Portugal	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, Microsoft Access, Elasticsearch"	Engineer	10	Bachelors (4 years)	50
55000	South Africa	Microsoft SQL Server	16	"Microsoft SQL Server, PostgreSQL, MongoDB, Sybase"	Developer: T-SQL	4	Associates (2 years)	40
90000	United States	Microsoft SQL Server	15	"MySQL/MariaDB, DB2, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)"	Engineer	15	Bachelors (4 years)	40
175000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, Azure SQL DB"	"Developer: App code (C#, JS, etc)"	2	Bachelors (4 years)	35
113400	United States	Microsoft SQL Server	15	Oracle	"Developer: App code (C#, JS, etc)"	15	Bachelors (4 years)	40
120000	United States	Microsoft SQL Server	4	"Microsoft Access, Azure SQL DB"	Other	4	Bachelors (4 years)	60
97500	United States	Microsoft SQL Server	9	"Oracle, MySQL/MariaDB, MongoDB"	DBA	5	Associates (2 years)	45
17621	Greece	Microsoft SQL Server	6	Azure SQL DB	"Developer: App code (C#, JS, etc)"	2	Masters	50
26500	Portugal	Microsoft SQL Server	10		DBA	0	Bachelors (4 years)	40
105000	United States	Microsoft SQL Server	16	Microsoft SQL Server	DBA	6	Bachelors (4 years)	45
85000	United States	Microsoft SQL Server	3	"Oracle, MySQL/MariaDB, PostgreSQL, DB2, Microsoft Access, Cisco Information Server"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	4	Bachelors (4 years)	50
104000	United States	Microsoft SQL Server	13	DB2	DBA	12	Bachelors (4 years)	40
41900	United Kingdom	Microsoft SQL Server	15	"Oracle, MongoDB"	DBA	25	None (no degree completed)	39
99000	United States	Microsoft SQL Server	6		DBA	2	Associates (2 years)	45
98000	United States	Microsoft SQL Server	8		DBA	2	Bachelors (4 years)	50
51000	United States	Microsoft SQL Server	4	Redis	DBA	2	None (no degree completed)	40
98000	United States	Microsoft SQL Server	20	"DB2, Microsoft Access, Azure SQL DB"	Other	25	Bachelors (4 years)	50
98000	United States	Microsoft SQL Server	19	Oracle	DBA	6	Bachelors (4 years)	50
116000	United States	Microsoft SQL Server	17		DBA	5	Masters	50
60000	United States	Microsoft SQL Server	4		DBA	4	Bachelors (4 years)	46
150000	Israel	MongoDB	4	"Microsoft SQL Server, MongoDB, Redis, Elasticsearch"	Architect	10	None (no degree completed)	55
70760	United States	Microsoft SQL Server	5	"Microsoft SQL Server, MySQL/MariaDB"	Analyst	3	Masters	40
65000	Germany	Microsoft SQL Server	10		Other	10	Bachelors (4 years)	50
67770	United Kingdom	Microsoft SQL Server	6	"Oracle, MySQL/MariaDB"	DBA	26	Bachelors (4 years)	40
81000	Canada	Microsoft SQL Server	9		DBA	7	Bachelors (4 years)	40
82000	United States	Microsoft SQL Server	4	SAP	"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	45
60000	Sweden	Microsoft SQL Server	10	Microsoft SQL Server	DBA	17	None (no degree completed)	35
55000	United States	Microsoft SQL Server	1	"Microsoft SQL Server, SAP"	DBA	1	Bachelors (4 years)	40
70000	United Kingdom	Microsoft SQL Server	12	"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, DB2, Cassandra, Microsoft Access, Teradata"	DBA	1	None (no degree completed)	38
86006	United States	Microsoft SQL Server	2		Developer: T-SQL	2	None (no degree completed)	40
70850	United Kingdom	Microsoft SQL Server	9	"Oracle, MySQL/MariaDB, PostgreSQL, Redis, Amazon RDS (any flavor)"	DBA	3	None (no degree completed)	42
98517	United Kingdom	Microsoft SQL Server	12	"Azure SQL DB, Amazon RDS (any flavor)"	DBA	1	Bachelors (4 years)	37
23000	United Kingdom	Microsoft SQL Server	4		"Developer: Business Intelligence (SSRS, PowerBI, etc)"	3	None (no degree completed)	40
107000	United States	Microsoft SQL Server	10	MySQL/MariaDB	DBA	4	Masters	45
94000	United States	PostgreSQL	4	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Redis, Elasticsearch"	Engineer	10	Associates (2 years)	45
78000	United States	Microsoft SQL Server	5	"Microsoft SQL Server, DB2, Azure SQL DB"	DBA	5	Bachelors (4 years)	42
200000	United States	Microsoft SQL Server	17		DBA	14	None (no degree completed)	60
120000	United States	Microsoft SQL Server	21		DBA	21	Bachelors (4 years)	45
72000	United States	Microsoft SQL Server	7	MongoDB	DBA	10	Bachelors (4 years)	45
125000	United States	Microsoft SQL Server	16	Oracle	DBA	13	Bachelors (4 years)	40
67000	United States	Microsoft SQL Server	10	SQLite	"Developer: App code (C#, JS, etc)"	5	Associates (2 years)	45
129000	United Kingdom	Microsoft SQL Server	14	MySQL/MariaDB	DBA	14	None (no degree completed)	40
117000	United States	Microsoft SQL Server	16		DBA	2	Bachelors (4 years)	50
66000	Netherlands	Microsoft SQL Server	5	"Microsoft SQL Server, Oracle, PostgreSQL, MongoDB"	DBA	2	Bachelors (4 years)	40
85155	United States	Microsoft SQL Server	15		DBA	3	Bachelors (4 years)	45
95000	United States	Microsoft SQL Server	15	Microsoft SQL Server	Other	11	Bachelors (4 years)	40
141000	United States	Microsoft SQL Server	7	"Microsoft SQL Server, Azure SQL DB, Amazon RDS (any flavor)"	Engineer	10	Associates (2 years)	40
58000	United Kingdom	Microsoft SQL Server	10	Microsoft Access	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	7	Bachelors (4 years)	45
95000	United States	Microsoft SQL Server	8	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access"	DBA	4	Masters	45
121000	United States	Microsoft SQL Server	11	"PostgreSQL, Microsoft Access, Elasticsearch, Azure SQL DB, Amazon RDS (any flavor)"	Architect	1	Masters	45
10000	India	Microsoft SQL Server	6	"Microsoft SQL Server, Oracle"	DBA	6	Masters	100
15000	India	Microsoft SQL Server	6	Microsoft SQL Server	DBA	3	Masters	30
130000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, Oracle, DB2, Microsoft Access"	DBA	20	Bachelors (4 years)	41
115000	United States	Microsoft SQL Server	10	"Oracle, Microsoft Access, Azure SQL DB"	DBA	10	None (no degree completed)	45
300000	United States	Microsoft SQL Server	18	Microsoft SQL Server	Developer: T-SQL	12	Bachelors (4 years)	40
64000	United States	Microsoft SQL Server	2	Microsoft SQL Server	Analyst	1	Masters	40
93000	United Kingdom	Microsoft SQL Server	16	"PostgreSQL, SQLite, Azure SQL DB"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	21	Bachelors (4 years)	38
95000	United States	Microsoft SQL Server	7		DBA	7	Masters	50
115000	United States	Microsoft SQL Server	20		DBA	5	Bachelors (4 years)	40
30798	United Kingdom	Microsoft SQL Server	1		DBA	1	None (no degree completed)	35
140000	United States	Microsoft SQL Server	11	Azure SQL DB	Engineer	6	Bachelors (4 years)	55
125000	United States	Microsoft SQL Server	20	"Redis, Azure SQL DB, Amazon RDS (any flavor)"	DBA	5	Associates (2 years)	40
87000	United States	Microsoft SQL Server	18	Sybase	DBA	5	Masters	40
99000	United States	Oracle	3		"Developer: App code (C#, JS, etc)"	3	Bachelors (4 years)	40
44278	United Kingdom	Microsoft SQL Server	15	SQLite	"Developer: App code (C#, JS, etc)"	6	None (no degree completed)	35
78000	United States	Microsoft SQL Server	4	Oracle	DBA	1	Masters	45
93000	United States	Microsoft SQL Server	7		"Developer: App code (C#, JS, etc)"	7	Bachelors (4 years)	40
115000	United States	Microsoft SQL Server	12	"Microsoft SQL Server, Microsoft Access"	Developer: T-SQL	10	None (no degree completed)	40
50000	Spain	Microsoft SQL Server	8		DBA	3	Associates (2 years)	45
88000	United States	Microsoft SQL Server	8	"MySQL/MariaDB, MongoDB, Azure SQL DB"	"Developer: App code (C#, JS, etc)"	5	Bachelors (4 years)	45
