SalaryUSD	Country	PrimaryDatabase	YearsWithThisDatabase	OtherDatabases	JobTitle	YearsWithThisTypeOfJob	Education	HoursWorkedPerWeek
100000	United Kingdom	Microsoft SQL Server	20	"MongoDB, DB2"	DBA	5	Bachelors (4 years)	35
135000	United States	Microsoft SQL Server	15	"Oracle, MySQL/MariaDB, PostgreSQL, DB2, Microsoft Access, SQLite, Azure SQL DB"	Architect	10	None (no degree completed)	55
131000	United States	Microsoft SQL Server	18	"Microsoft Access, Azure SQL DB"	DBA	12	Masters	50
120000	United States	Microsoft SQL Server	16		DBA	16	Masters	40
62000	United States	Microsoft SQL Server	5	Informix	DBA	1	Masters	40
100000	Australia	Microsoft SQL Server	8	"Azure SQL DB, Amazon RDS (any flavor)"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	1	Bachelors (4 years)	40
88000	United States	Microsoft SQL Server	3	Microsoft SQL Server	DBA	3	Bachelors (4 years)	45
91300	New Zealand	Microsoft SQL Server	18	"Microsoft SQL Server, Microsoft Access, Azure SQL DB, Spark, Hadoop, CouchDB, Neo4J"	Other	10	None (no degree completed)	40
125000	United States	Microsoft SQL Server	20		Architect	4	None (no degree completed)	45
23000	Hungary	Microsoft SQL Server	10	Microsoft SQL Server	DBA	1	Bachelors (4 years)	44
45000	Netherlands	Microsoft SQL Server	7	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Microsoft Access"	Engineer	8	Bachelors (4 years)	40
85000	Australia	Microsoft SQL Server	15	Amazon Redshift	DBA	11	None (no degree completed)	50
142000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, Oracle, DB2, Microsoft Access, Essbase"	DBA	18	Masters	50
133500	United States	Microsoft SQL Server	20		DBA	20	Bachelors (4 years)	40
92000	United States	Microsoft SQL Server	6	MySQL/MariaDB	Manager	2	Bachelors (4 years)	55
115000	United States	Microsoft SQL Server	12	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access"	"Developer: App code (C#, JS, etc)"	7	Bachelors (4 years)	40
75000	Canada	Microsoft SQL Server	18		DBA	10	Bachelors (4 years)	40
77000	New Zealand	Microsoft SQL Server	12	PostgreSQL	Developer: T-SQL	7	Bachelors (4 years)	40
49900	United States	Microsoft SQL Server	10	Oracle	DBA	4	Bachelors (4 years)	50
101000	United States	Microsoft SQL Server	17	"Oracle, Microsoft Access"	DBA	6	Associates (2 years)	40
70000	Australia	Microsoft SQL Server	12	Oracle	DBA	12	Masters	40
124600	United States	Microsoft SQL Server	4	Microsoft SQL Server	DBA	4	Masters	50
125000	United States	Microsoft SQL Server	10	DB2	DBA	25	Bachelors (4 years)	40
95000	United States	Microsoft SQL Server	20	"MySQL/MariaDB, Microsoft Access, Azure SQL DB"	Developer: T-SQL	20	Bachelors (4 years)	45
13500	Argentina	Microsoft SQL Server	2		DBA	2	Bachelors (4 years)	40
95000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, DB2, Microsoft Access"	DBA	1	Bachelors (4 years)	40
50000	United States	Microsoft SQL Server	1		DBA	0	Associates (2 years)	40
102000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, Cache"	DBA	13	Bachelors (4 years)	42
99000	United States	Microsoft SQL Server	5	"Microsoft Access, Elasticsearch, Azure SQL DB"	Developer: T-SQL	2	Masters	48
105000	United States	Microsoft SQL Server	9	"Microsoft SQL Server, Oracle, Azure SQL DB"	DBA	9	Associates (2 years)	50
50000	Canada	Microsoft SQL Server	10	"Oracle, MySQL/MariaDB, PostgreSQL"	DBA	10	Bachelors (4 years)	40
72000	New Zealand	Microsoft SQL Server	7		DBA	5	Masters	40
50000	Spain	Microsoft SQL Server	10	"Microsoft SQL Server, MongoDB"	Developer: T-SQL	2	Bachelors (4 years)	40
95000	United States	Microsoft SQL Server	15	Oracle	DBA	10	Masters	50
92000	United States	Microsoft SQL Server	8	"Oracle, MySQL/MariaDB, DB2"	DBA	18	Bachelors (4 years)	40
105000	United States	Microsoft SQL Server	12	Oracle	Architect	7	Masters	45
72000	United States	Microsoft SQL Server	3	"Microsoft Access, Azure SQL DB"	DBA	2	Associates (2 years)	45
73000	United States	Microsoft SQL Server	6	Microsoft Access	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	6	Associates (2 years)	40
130000	United States	Microsoft SQL Server	16	Microsoft Access	Architect	3	Masters	40
135000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, Microsoft Access, Azure SQL DB"	DBA	3	Bachelors (4 years)	45
130000	United States	Microsoft SQL Server	18	"PostgreSQL, MongoDB, Microsoft Access, Redis, Elasticsearch, Amazon RDS (any flavor)"	Architect	5	Bachelors (4 years)	50
125000	United States	Microsoft SQL Server	12		DBA	3	Masters	40
115000	United States	Microsoft SQL Server	4	Oracle	DBA	18	Bachelors (4 years)	40
80000	Australia	Microsoft SQL Server	10	"DB2, Teradata"	DBA	10	None (no degree completed)	45
70800	United Kingdom	Microsoft SQL Server	15	"Microsoft SQL Server, Oracle, Progress"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	3	Bachelors (4 years)	38
170000	United States	Microsoft SQL Server	8	"Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	5	Bachelors (4 years)	45
44000	Poland	Microsoft SQL Server	6		Analyst	4	Masters	40
135000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, Azure SQL DB, Azure SQL Data Warehouse"	Architect	15	Bachelors (4 years)	40
75000	United States	Microsoft SQL Server	3	"MySQL/MariaDB, PostgreSQL, Amazon RDS (any flavor)"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	1	Associates (2 years)	42
75720	United States	Microsoft SQL Server	15	Microsoft SQL Server	DBA	15	Bachelors (4 years)	45
105000	United States	Microsoft SQL Server	14	"Oracle, MySQL/MariaDB, DB2, Microsoft Access"	DBA	4	Bachelors (4 years)	40
65000	Australia	Microsoft SQL Server	15	Microsoft Access	DBA	5	Bachelors (4 years)	38
74000	United States	Microsoft SQL Server	2	Oracle	DBA	2	Bachelors (4 years)	45
110000	United States	Microsoft SQL Server	13	"Oracle, PostgreSQL, MongoDB, Microsoft Access, Redis"	Developer: T-SQL	1	Bachelors (4 years)	40
89000	United States	Microsoft SQL Server	18	Microsoft SQL Server	DBA	18	Bachelors (4 years)	50
77500	United States	Microsoft SQL Server	4	Microsoft SQL Server	DBA	2	Bachelors (4 years)	40
13000	Romania	Microsoft SQL Server	5		DBA	3	Masters	40
78760	Australia	Microsoft SQL Server	7	"MySQL/MariaDB, PostgreSQL, Microsoft Access"	DBA	7	Bachelors (4 years)	44
100000	Australia	Microsoft SQL Server	9	"Oracle, MySQL/MariaDB, PostgreSQL"	DBA	3	Masters	50
86000	Australia	Microsoft SQL Server	10	"Microsoft SQL Server, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor), Sybase"	Architect	1	Associates (2 years)	40
55000	Greece	Microsoft SQL Server	12	"UNISYS DMS, RDMS"	DBA	4	Masters	45
60000	United States	Microsoft SQL Server	1	"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Elasticsearch, Amazon RDS (any flavor)"	DBA	1	None (no degree completed)	45
84000	Australia	Microsoft SQL Server	5	"Oracle, MySQL/MariaDB, PostgreSQL"	DBA	15	Bachelors (4 years)	37
54000	Sweden	Microsoft SQL Server	10		DBA	2	Associates (2 years)	40
100000	Australia	Microsoft SQL Server	10	"Oracle, PostgreSQL"	DBA	6	Masters	40
158000	United States	Microsoft SQL Server	12	Microsoft Access	Developer: T-SQL	8	Bachelors (4 years)	42
58000	Canada	Microsoft SQL Server	5	Microsoft Access	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	8	Bachelors (4 years)	40
200000	United States	Microsoft SQL Server	20		Architect	20	Bachelors (4 years)	50
50000	Canada	Microsoft SQL Server	5	"Microsoft SQL Server, Microsoft Access"	DBA	9	None (no degree completed)	41
163000	United States	Microsoft SQL Server	11	"MySQL/MariaDB, PostgreSQL, MongoDB"	DBA	5	Bachelors (4 years)	40
140000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, MongoDB"	DBA	4	Bachelors (4 years)	40
65000	United States	Microsoft SQL Server	4		Engineer	6	Bachelors (4 years)	40
94000	United States	Microsoft SQL Server	15	"Oracle, Informix"	Developer: T-SQL	15	Masters	50
55000	United Kingdom	Microsoft SQL Server	8	"Azure SQL DB, Amazon RDS (any flavor)"	DBA	3	None (no degree completed)	50
84000	United States	Microsoft SQL Server	10	"MySQL/MariaDB, Microsoft Access, SQLite"	DBA	9	Associates (2 years)	50
120000	United States	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle"	Developer: T-SQL	3	Masters	40
123000	United States	Microsoft SQL Server	6	"Microsoft SQL Server, Oracle, Azure SQL DB"	DBA	21	Associates (2 years)	45
80000	Australia	Microsoft SQL Server	12	"Microsoft SQL Server, Oracle, Microsoft Access"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	10	Bachelors (4 years)	40
100000	United States	Microsoft SQL Server	12	"Microsoft SQL Server, Oracle, DB2"	Engineer	7	Bachelors (4 years)	45
70000	United States	Microsoft SQL Server	11	Microsoft Access	"Developer: App code (C#, JS, etc)"	4	Associates (2 years)	40
1450000	United States	Microsoft SQL Server	12	"Microsoft SQL Server, Oracle, Microsoft Access, Teradata, Azure SQL DB"	Analyst	12	Bachelors (4 years)	42
68000	United States	Microsoft SQL Server	3	"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, SQLite"	Developer: T-SQL	3	Bachelors (4 years)	40
71807	Canada	Microsoft SQL Server	8	Azure SQL DB	DBA	8	None (no degree completed)	38
140000	United States	Microsoft SQL Server	18	"DB2, Azure SQL DB"	Architect	1	Bachelors (4 years)	45
105000	United States	Microsoft SQL Server	5	Microsoft Access	DBA	5	Masters	40
120000	United States	Microsoft SQL Server	9	Microsoft SQL Server	DBA	5	Bachelors (4 years)	40
80080	Australia	Microsoft SQL Server	20	"Microsoft SQL Server, MySQL/MariaDB"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	1	Bachelors (4 years)	38
120000	United States	Microsoft SQL Server	20	"Oracle, MySQL/MariaDB, PostgreSQL"	DBA	14	None (no degree completed)	40
129000	United States	Microsoft SQL Server	17	"MySQL/MariaDB, Microsoft Access"	Developer: T-SQL	5	Masters	45
72000	Canada	Microsoft SQL Server	6		DBA	6	Bachelors (4 years)	45
116000	United States	Microsoft SQL Server	15	"Oracle, MySQL/MariaDB, PostgreSQL, Microsoft Access, Azure SQL DB"	Architect	5	Bachelors (4 years)	50
49000	Portugal	Microsoft SQL Server	6	"MySQL/MariaDB, MongoDB, Redis, SQLite"	DBA	10	Bachelors (4 years)	40
72450	United States	Microsoft SQL Server	4	"Oracle, PostgreSQL, Microsoft Access, Azure SQL DB"	DBA	4	None (no degree completed)	47
67902	Sweden	Microsoft SQL Server	15	Azure SQL DB	DBA	1	None (no degree completed)	40
121950	United States	Microsoft SQL Server	20		DBA	5	Bachelors (4 years)	50
160000	United States	Microsoft SQL Server	21	DB2	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	8	Bachelors (4 years)	50
106000	United States	Microsoft SQL Server	16		DBA	12	None (no degree completed)	50
90000	United States	Microsoft SQL Server	12	Azure SQL DB	DBA	7	Associates (2 years)	41
118000	United States	Microsoft SQL Server	10	"MySQL/MariaDB, PostgreSQL, MongoDB, Microsoft Access, Elasticsearch, Amazon RDS (any flavor)"	DBA	3	None (no degree completed)	50
60000	United Kingdom	Other	20	"Microsoft SQL Server, Oracle, DB2, Microsoft Access, Teradata"	Other	1	Bachelors (4 years)	42
95000	Australia	Microsoft SQL Server	9	"Oracle, PostgreSQL, SQLite"	Engineer	4	Bachelors (4 years)	45
20000	El Salvador	PostgreSQL	1	"Microsoft SQL Server, Oracle, MongoDB"	Analyst	1	Bachelors (4 years)	40
70000	New Zealand	Oracle	1	Microsoft SQL Server	Engineer	1	None (no degree completed)	40
120000	Norway	Microsoft SQL Server	12		"Developer: Business Intelligence (SSRS, PowerBI, etc)"	7	Masters	45
90000	United States	Microsoft SQL Server	4		DBA	3	Bachelors (4 years)	40
101400	United States	Microsoft SQL Server	5		Developer: T-SQL	3	Bachelors (4 years)	40
120000	Denmark	Microsoft SQL Server	11		DBA	11	None (no degree completed)	37
130000	United States	Microsoft SQL Server	10		DBA	10	Bachelors (4 years)	40
55000	United States	Microsoft SQL Server	2		Analyst	2	Bachelors (4 years)	40
120000	United Kingdom	Microsoft SQL Server	16	"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB"	DBA	20	Masters	40
112000	United States	Microsoft SQL Server	8		DBA	6	Associates (2 years)	30
75000	United States	Oracle	2	Microsoft SQL Server	Engineer	3	Associates (2 years)	40
112000	United States	Microsoft SQL Server	14		DBA	1	Masters	45
132000	United States	Microsoft SQL Server	9	"Oracle, Microsoft Access, Informix"	Architect	1	Bachelors (4 years)	45
196000	United States	Microsoft SQL Server	15	DB2	Developer: T-SQL	20	Bachelors (4 years)	60
82000	United States	Microsoft SQL Server	16	"Microsoft SQL Server, Microsoft Access"	DBA	17	Associates (2 years)	50
133000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, Oracle, MySQL/MariaDB"	Architect	2	Bachelors (4 years)	45
120000	United States	Microsoft SQL Server	10	Redis	"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	40
100000	United States	Microsoft SQL Server	6	"DB2, Microsoft Access, Teradata"	DBA	6	Bachelors (4 years)	41
100000	Italy	Microsoft SQL Server	16	"MySQL/MariaDB, Microsoft Access, Azure SQL DB"	DBA	16	Bachelors (4 years)	50
145000	United States	Microsoft SQL Server	20	"Oracle, PostgreSQL, Amazon RDS (any flavor)"	DBA	5	Bachelors (4 years)	40
175000	United States	Microsoft SQL Server	20	"Elasticsearch, Azure SQL DB"	Data Scientist	5	Masters	55
147000	United States	Microsoft SQL Server	17		DBA	2	None (no degree completed)	37
55000	United States	Microsoft SQL Server	6	"Microsoft SQL Server, Microsoft Access"	DBA	5	Masters	45
85000	Australia	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, Microsoft Access"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	4	Masters	45
130000	United States	Microsoft SQL Server	19	SQLite	DBA	5	Bachelors (4 years)	46
108000	United States	Microsoft SQL Server	20	"Oracle, Microsoft Access"	Architect	10	Masters	45
57800	Canada	Microsoft SQL Server	12	"Oracle, PostgreSQL, Microsoft Access"	Developer: T-SQL	4	Bachelors (4 years)	40
170000	United States	Microsoft SQL Server	14	Oracle	DBA	10	Bachelors (4 years)	50
125000	United States	Microsoft SQL Server	13	"MySQL/MariaDB, Microsoft Access"	Architect	10	Bachelors (4 years)	55
100000	New Zealand	Microsoft SQL Server	11	"PostgreSQL, Azure SQL DB, Amazon RDS (any flavor), JADE"	Architect	4	Bachelors (4 years)	38
76000	United States	Microsoft SQL Server	12		Engineer	4	Bachelors (4 years)	50
106000	Australia	Microsoft SQL Server	17	Microsoft SQL Server	DBA	3	Bachelors (4 years)	40
107540	United States	Microsoft SQL Server	7	Oracle	Architect	4	Bachelors (4 years)	45
75000	United States	Microsoft SQL Server	20	Microsoft Access	Developer: T-SQL	11	None (no degree completed)	40
64000	Canada	Microsoft SQL Server	30	"Oracle, PostgreSQL, DB2, Microsoft Access"	DBA	30	Masters	44
68000	United States	Microsoft SQL Server	10	Microsoft Access	Developer: T-SQL	1	Associates (2 years)	40
55000	Australia	Microsoft SQL Server	3	SAP	"Developer: App code (C#, JS, etc)"	3	Bachelors (4 years)	40
110000	Ireland	PostgreSQL	10	"Microsoft SQL Server, MySQL/MariaDB, Elasticsearch"	Developer: T-SQL	0	Masters	40
69508	Canada	Microsoft SQL Server	15	Oracle	Developer: T-SQL	15	Associates (2 years)	35
118500	United States	Microsoft SQL Server	8		DBA	5	Bachelors (4 years)	40
45000	United States	Microsoft SQL Server	4		Developer: T-SQL	4	Masters	40
124000	United States	Microsoft SQL Server	16		DBA	3	Bachelors (4 years)	40
52000	United States	Microsoft SQL Server	1	Oracle	DBA	1	Bachelors (4 years)	40
70000	Canada	Microsoft SQL Server	20	"Oracle, SQLite, Azure SQL DB"	DBA	1	None (no degree completed)	35
54000	Australia	Microsoft SQL Server	2	Microsoft Access	DBA	2	None (no degree completed)	45
77056	Australia	Microsoft SQL Server	15	"Oracle, MySQL/MariaDB, Microsoft Access, Amazon RDS (any flavor)"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	3	Masters	37
104500	United States	SAP	2	"Microsoft SQL Server, Oracle, DB2, Teradata"	Architect	5	Bachelors (4 years)	40
195000	United States	Microsoft SQL Server	20	"Azure SQL DB, Amazon RDS (any flavor)"	Architect	3	Masters	40
115000	United States	Microsoft SQL Server	18	"SQLite, Azure SQL DB"	Developer: T-SQL	10	Bachelors (4 years)	40
88000	United States	Microsoft SQL Server	7	"MySQL/MariaDB, Azure SQL DB"	DBA	5	Masters	50
65000	Sweden	Microsoft SQL Server	16	"Microsoft SQL Server, Azure SQL DB"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	3	None (no degree completed)	40
180000	Canada	Microsoft SQL Server	17		Architect	17	None (no degree completed)	30
120000	United States	Microsoft SQL Server	8	"DB2, Microsoft Access"	Developer: T-SQL	5	Bachelors (4 years)	40
127000	United States	Microsoft SQL Server	18	"Microsoft Access, Azure SQL DB"	DBA	18	None (no degree completed)	55
106000	United States	Microsoft SQL Server	9		"Developer: App code (C#, JS, etc)"	13	Bachelors (4 years)	48
74104	Australia	Microsoft SQL Server	14	"Microsoft Access, SQLite, Azure SQL DB, Dataflex"	Analyst	19	Bachelors (4 years)	60
110000	United States	Microsoft SQL Server	6		Architect	2	Bachelors (4 years)	40
113500	United States	Microsoft SQL Server	16	"Microsoft SQL Server, Oracle, MySQL/MariaDB, DB2"	DBA	2	None (no degree completed)	40
120000	United States	Microsoft SQL Server	18	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Microsoft Access, Azure SQL DB"	DBA	10	Bachelors (4 years)	50
60000	Australia	Microsoft SQL Server	4	Oracle	Engineer	4	Bachelors (4 years)	38
120000	Australia	Microsoft SQL Server	9	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Microsoft Access, SAP, Azure SQL DB"	DBA	3	None (no degree completed)	40
134000	United States	Microsoft SQL Server	13		Manager	13	Bachelors (4 years)	40
85000	United States	Microsoft SQL Server	3		Manager	4	Bachelors (4 years)	50
86000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, Microsoft Access"	DBA	10	Bachelors (4 years)	50
85000	United States	Microsoft SQL Server	6		DBA	5	Bachelors (4 years)	50
145000	United States	Microsoft SQL Server	20		DBA	18	Masters	40
140000	United States	Microsoft SQL Server	12	"Oracle, MySQL/MariaDB, Cassandra, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)"	Architect	1	None (no degree completed)	50
136000	United States	Microsoft SQL Server	7	Microsoft SQL Server	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	7	Bachelors (4 years)	42
85000	United States	Microsoft SQL Server	11	"Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, Microsoft Access, Elasticsearch, Azure SQL DB"	Developer: T-SQL	3	Associates (2 years)	35
90000	United States	Microsoft SQL Server	7	"MySQL/MariaDB, SQLite"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	7	Bachelors (4 years)	44
25000	India	Microsoft SQL Server	7	Microsoft SQL Server	DBA	1	Masters	40
84000	United States	Microsoft SQL Server	14	Microsoft SQL Server	DBA	10	Bachelors (4 years)	38
120000	United States	Microsoft SQL Server	17	"Oracle, DB2, Teradata"	Developer: T-SQL	3	Bachelors (4 years)	45
100000	United States	Microsoft SQL Server	14	Microsoft SQL Server	DBA	14	Bachelors (4 years)	40
103000	United States	Microsoft SQL Server	14	"Oracle, MySQL/MariaDB, Microsoft Access, SQLite, Informix"	Architect	8	Associates (2 years)	45
130000	United States	Oracle	1	Microsoft SQL Server	Analyst	3	Masters	50
40000	Sweden	Microsoft SQL Server	5	"Elasticsearch, Azure SQL DB"	Engineer	3	Associates (2 years)	40
100000	Australia	Microsoft SQL Server	6	"Oracle, MySQL/MariaDB"	DBA	1	Bachelors (4 years)	35
60000	Bolivia	Microsoft SQL Server	16	"MySQL/MariaDB, PostgreSQL, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)"	DBA	2	None (no degree completed)	32
110000	United States	Microsoft SQL Server	12	Elasticsearch	DBA	6	Bachelors (4 years)	40
95000	United States	Microsoft SQL Server	6	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access"	Developer: T-SQL	5	None (no degree completed)	40
169000	United States	Microsoft SQL Server	15	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB"	DBA	2	Bachelors (4 years)	45
135000	United States	Microsoft SQL Server	10	"Microsoft SQL Server, Teradata"	DBA	3	Masters	40
12000	India	Microsoft SQL Server	5	Microsoft SQL Server	DBA	1	Bachelors (4 years)	45
168000	United States	Microsoft SQL Server	17	"Microsoft SQL Server, Oracle, Microsoft Access, Hyperion/Essbase"	Manager	1	None (no degree completed)	55
31300	Argentina	Microsoft SQL Server	3		DBA	3	Bachelors (4 years)	44
83000	United States	Microsoft SQL Server	16	"Oracle, Microsoft Access"	Developer: T-SQL	2	Associates (2 years)	40
103000	United States	Oracle	13	"Microsoft SQL Server, Oracle, Azure SQL DB"	DBA	4	Bachelors (4 years)	55
102000	United States	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, MongoDB, Microsoft Access"	Developer: T-SQL	2	Bachelors (4 years)	50
90000	United States	Microsoft SQL Server	3	Microsoft SQL Server	Other	10	Bachelors (4 years)	50
132000	United States	Microsoft SQL Server	8	Azure SQL DB	DBA	4	Bachelors (4 years)	60
36000	Vietnam	Microsoft SQL Server	5	"PostgreSQL, MongoDB, Redis, Redshift"	Architect	5	Associates (2 years)	40
130000	United States	Microsoft SQL Server	25	"PostgreSQL, Redis, Hive"	Architect	9	None (no degree completed)	80
22000	India	Microsoft SQL Server	7	"MySQL/MariaDB, Microsoft Access, Azure SQL DB"	DBA	7	Bachelors (4 years)	40
200000	Australia	Microsoft SQL Server	7	Microsoft SQL Server	DBA	0	None (no degree completed)	40
71000	United States	Microsoft SQL Server	5	"Microsoft SQL Server, Microsoft Access, Btrieve"	Engineer	2	Bachelors (4 years)	45
65000	United States	Microsoft SQL Server	8	"Oracle, Microsoft Access"	DBA	2	Associates (2 years)	40
61000	New Zealand	Microsoft SQL Server	4	Oracle	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	3	Masters	40
53000	United States	Microsoft SQL Server	6		DBA	2	None (no degree completed)	40
120000	United States	Microsoft SQL Server	15	"MySQL/MariaDB, Azure SQL DB"	DBA	7	Bachelors (4 years)	45
80000	United States	Microsoft SQL Server	5	"Oracle, PostgreSQL, Microsoft Access"	DBA	2	Bachelors (4 years)	50
4423	India	Microsoft SQL Server	2		DBA	2	Bachelors (4 years)	54
11300	India	Microsoft SQL Server	4	Microsoft SQL Server	DBA	1	Masters	45
30500	India	Microsoft SQL Server	10	Microsoft SQL Server	DBA	10	Masters	50
120000	Australia	Microsoft SQL Server	14	Oracle	DBA	5	Bachelors (4 years)	50
48500	United States	Microsoft SQL Server	1		DBA	1	Associates (2 years)	40
4420	India	Microsoft SQL Server	1	Microsoft SQL Server	DBA	1	Bachelors (4 years)	30
54500	South Africa	Microsoft SQL Server	13	"DB2, Microsoft Access"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	4	Bachelors (4 years)	45
253000	India	Microsoft SQL Server	7	Powershell	DBA	7	Bachelors (4 years)	40
5500	India	Microsoft SQL Server	2	"Microsoft SQL Server, Oracle, Informix"	DBA	2	Bachelors (4 years)	45
14000	India	Microsoft SQL Server	1	"Microsoft SQL Server, Azure SQL DB"	DBA	1	Masters	60
176000	United States	Microsoft SQL Server	20	Microsoft SQL Server	DBA	17	Bachelors (4 years)	40
120000	Switzerland	Microsoft SQL Server	20		DBA	10	Masters	42
117600	United States	Microsoft SQL Server	16	Microsoft SQL Server	DBA	3	Bachelors (4 years)	45
135000	Switzerland	Microsoft SQL Server	15	"Oracle, MySQL/MariaDB, PostgreSQL"	DBA	20	None (no degree completed)	45
51500	South Africa	Microsoft SQL Server	5	"Microsoft SQL Server, MongoDB"	Analyst	3	Bachelors (4 years)	40
100000	South Africa	Microsoft SQL Server	8	"Oracle, PostgreSQL, DB2, Microsoft Access"	Other	5	None (no degree completed)	40
60000	Denmark	Microsoft SQL Server	3	"Microsoft SQL Server, Oracle, DB2, Azure SQL DB"	DBA	3	Bachelors (4 years)	37
79000	United States	Microsoft SQL Server	7	"Microsoft SQL Server, Oracle, Microsoft Access"	Analyst	7	Bachelors (4 years)	35
72000	Israel	Microsoft SQL Server	5		DBA	2	Bachelors (4 years)	45
66600	Germany	Microsoft SQL Server	14	"Oracle, MySQL/MariaDB"	DBA	3	Associates (2 years)	40
11000	India	Microsoft SQL Server	5	Oracle	DBA	5	Bachelors (4 years)	45
55000	Germany	Microsoft SQL Server	5		Analyst	14	Associates (2 years)	42
29200	South Africa	Microsoft SQL Server	9	"Microsoft Access, Netezza - built on PostGreSQL"	DBA	9	None (no degree completed)	45
42000	Poland	Microsoft SQL Server	10		Developer: T-SQL	1	Bachelors (4 years)	40
250000	Germany	Microsoft SQL Server	18		Architect	12	None (no degree completed)	60
59000	Netherlands	Microsoft SQL Server	20		"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	36
140000	United States	Microsoft SQL Server	10	"Azure SQL DB, Amazon RDS (any flavor)"	Engineer	10	Masters	50
18000	India	Microsoft SQL Server	10	"Oracle, MySQL/MariaDB"	DBA	2	Bachelors (4 years)	40
44000	Germany	Microsoft SQL Server	5	"Microsoft SQL Server, MySQL/MariaDB"	"Developer: App code (C#, JS, etc)"	5	Associates (2 years)	40
1600	India	Microsoft SQL Server	6	Microsoft SQL Server	DBA	6	Masters	45
77000	Denmark	Microsoft SQL Server	6		"Developer: Business Intelligence (SSRS, PowerBI, etc)"	1	Associates (2 years)	40
1250	Turkey	Microsoft SQL Server	6	Microsoft SQL Server	Developer: T-SQL	6	Bachelors (4 years)	50
29000	India	Microsoft SQL Server	11	"Microsoft SQL Server, Microsoft Access, Azure SQL DB"	Analyst	11	Bachelors (4 years)	40
60000	Germany	Microsoft SQL Server	3		DBA	3	Associates (2 years)	40
65000	Netherlands	Microsoft SQL Server	6	SAP	DBA	1	Bachelors (4 years)	40
60000	Netherlands	Microsoft SQL Server	12	"MySQL/MariaDB, Microsoft Access"	DBA	1	Bachelors (4 years)	45
7515	India	Microsoft SQL Server	4		DBA	4	Bachelors (4 years)	10
6200	Denmark	Microsoft SQL Server	15	"Microsoft SQL Server, Oracle, Microsoft Access"	Developer: T-SQL	11	Bachelors (4 years)	37
56200	France	Microsoft SQL Server	15		Manager	8	Masters	50
131000	United States	Microsoft SQL Server	7	"Microsoft SQL Server, MySQL/MariaDB, Teradata, Amazon RDS (any flavor)"	Developer: T-SQL	4	Bachelors (4 years)	38
170000	United States	Microsoft SQL Server	15		Architect	2	Masters	40
70000	Australia	Microsoft SQL Server	15	"Oracle, DB2, Microsoft Access, Azure SQL DB"	Analyst	4	Bachelors (4 years)	38
66000	United States	Microsoft SQL Server	12	"Microsoft SQL Server, Microsoft Access"	DBA	12	Masters	45
25500	Slovenia	Microsoft SQL Server	6	Azure SQL DB	DBA	6	Bachelors (4 years)	40
